id,study,patent,courses,training,programs,workshops,education,internships,certification,certifications,qualifications,related courses,apprenticeships,special training,academic training,college activities,academic experience,academic background,educational training,internship experience,professional training,educational background,education and training,related course projects,course project experience,educational qualifications
0,,,,,,,"


University of Pretoria

Estimated completion of Honours in Investment Management November 2017

Passed CFA Level I exam ",,,,,,,,,,,,,,,,,,,
1,,,,,,,"
:

High School Education :

Matriculated from Afrikaans Hoër Seunskool Pretoria (Affies) in 2012.

National Senior Certificate with University Exemption 5 distinctions.

Subjects:

Afrikaans Home Language 88%

English Home Language 75%

Mathematics 72%

Economics 89%

History 87%

Life Sciences 82%

Life Orientation 87%

(Certified copy of Academic record attached hereto.)

Awarded Academic colours in 2008 2009 2010 2011 and 2012.

In addition to my academic achievements at school I have achieved the following:

Provincial colours in Rugby – 2010 – I was also selected for SA team and toured the United Kingdom.

Played for Affies First Rugby Team in 2012

School Choir 2008 to 2012 – won 2 Gold medals at World Choir Games Gratz Austria 2008

International Choir Games 2012 Llangollen Wales Gold Medal for Traditional Category

Deputy Chairperson of School Choir in 2012

Nominated as Best Tenor in 2011 and Awarded Best Tenor in 2012

",,,,,,,,,,,,,,,,,,,," :

BCom Law degree : University of Pretoria 2015

Majoring in: Law Economics and Business Management

Certified copy of Academic record for 2013 2014 & 2015 attached hereto.

Certified copy of degree certificate attached hereto.

Outstanding Achievement in Economics at end of 2014: 86%

Received international recognition from the Golden Key International Honour Society for outstanding academic achievement in July 2015:

Golden Key International Society gives international recognition to the top 15% academic achievers at Tertiary level in their field of study.

Current studies : LLB degree UP 2016 2017.

Certified copy of 2016 academic results attached hereto. Currently completing my final year.

In addition to my academic achievements at University I have achieved the following:

Played Rugby for University of Pretoria (Tuks) u/19 A (2013)

Played Rugby for University of Pretoria Tuks u/21 A ( 2014)

Member of in University Serenade group (Vividus Men) 2013 2014 & 2015.

Won SA Universities’ Serenade National Competition in 2014.

"
2,,,,,,,,,,,,,,,,,,,,,,,,,,,"

HIGHEST QUALIFICATION

1. Postgraduate Diploma in Accountancy 2017 to date

MODULES IN PROGRESS

 Applied Accounting

 Applied Auditing

 Applied Taxation

 Applied Management Accounting

2. Bachelor of Commerce Honours in Accounting University of Limpopo 2016

MODULES COMPLETED

 Advance Accounting

 Advance Auditing

 Advance Taxation

 Advance Management Accounting

 "
3,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,"

2016 2017

THESIS WORK 2016-2017

POST-GRADUATE SUMMER

SCHOOL 2016

2015

THESIS WORK 2015

2011 – 2014

"," IN:

2006 – 2010

Stellenbosch University Stellenbosch Masters:

Economics Including Modules in Industrial

Organization International Finance History and

Development

Masters Thesis 2016 (in progress): The

Transmission of Financial Spillovers to Emerging

Markets.

AIFMRM PhD Summer School December 2016.

Consisted of Courses in: Financial Network

Economics (Prof. Ben Golub Harvard University)

Law and Finance (Prof Katharina Pistor Columbia

Law School) and Empirical Banking (Dr. Co-Pierre

George Deutsche Bundesbank Oxford University)

Stellenbosch University Stellenbosch Honours:

Economics Including Modules in Financial

Monetary International Trade and Labour

Economics

Honours Thesis 2015: Constructing a CPI Estimate

Using Raw Price Data in Stata

Stellenbosch University Stellenbosch Bachelors of Commerce: General Majoring in

Economics and Investment Management

Economics Econometrics Derivatives Fixed

Income Analysis Shares Valuation Statistics

Linden High School Johannesburg Matric

"
5,,,,,,,"
:

Master of Commerce specializing in Risk management of financial markets  ",,,,,,,,,,,,,,,,,,,
6,,,,"


 Crisis Management

 Business Strategy

 Staff Development

 ",,,"
 DETAILS

3

 With gypsum l am responsible for sourcing both local and overseas suppliers.

 I do not only look at the material price but l also compares the transport rates via road rail and sea to find the best quality of gypsum at the cheapest possible price.

 Responsible for the research of stretch hood plastic suppliers in SA and abroad. Understanding the manufacturing process of stretch hood plastic and the technology of reducing the plastic thickness to reduce costs.

Name of Employer Wits CCDU

Designation / Title First Year Experience Mentor

Period of Employment 2014

Reason for Leaving Contact

 Responsible for mentoring first year students who were struggling with their studies and thus were at risk of being excluded from the University. I would share with them study tips and moral support to help them to improve their academic performance.

Name of Employer Wits University Department of Biochemical Engineering

Designation / Title Vacation work student – Laboratory ",,,,,,,,,,,,,,,,,,,
7,,,,,,,"


Matric

Attended Parktown Boys’ High School from 2008-2012. In my matric year 7 distinctions were obtained in Mathematics Advanced Programming Mathematics additional Mathematics Physical Science Life Science Geography and Life Orientation

University

Undergraduate

BEng Mechanical Engineering (University of Pretoria)

My weighted average is 67.21%. This has included distinctions in Calculus Physics Linear Algebra Dynamics Engineering Statistics Professional and Technical Communication and Community Based Projects.

Postgraduate

Phil in Mathematical Finance (University of Cape Town)

Commenced at the beginning of 2017

",,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,"
:

 ASISA Collective Investment Schemes Programme 2016 (CIS@UJ).

 B.Com (Hons) Investment Management – Average of 70%. Ranked 15th out of 120 students.

 B.Com Finance Degree – Final year Average of 72%.

 Financial Modelling Course in Excel (conducted by Barbara Fuzesi from DePaul University – Chicago) – Obtained an overall average of 94%. Ranked 2nd in the course.

 Computer literate in Word Excel PowerPoint Access and Eviews (Quantitative

Investment Analysis Software).

 Systems: Silica (LOB) and AWD.

Driver’s License: Code 8 (Code B)




B.Com (Hons) Investment Management University of Johannesburg 2015

B.Com Finance University of Johannesburg 2011 – 2014

High School (Matriculated) Parktown Boys’ High School 2006 – 2010

Primary School Arthur Matthews Primary School 1999 – 2005

FULL TIME WORK HISTORY

Company: Silica Holdings Pty Ltd

Company description:

Silica is a leading Business Process Outsourcing and Technology company specialising in the provision of investment product and shareholder administration services and solutions to Africa Europe the Middle East and Asia.

Current Position (",,,,,,,,,,,,,,,,,,,
10,,,"
 : INFORMATION SYSTEM SECURITY BASIC

UNIT : REGIMENT MOOIRIVIER (RMR)

FORCE NO. : 09005547B.V

DURATION : NON CONTINOUS BASIS

POSITION : TUTOR

COURSE : MANAGERIAL ACCOUNTING

INSTITITUTION : WITS UNIVERSITY

DURATION : JULY 2015 – OCTOBER 2015

PERSONAL DEVELOPMENT/ACHIEVEMENTS

HIGH SCHOOL ACHIEVEMENTS : BEST LEARNER GRADE 11 AND 12

: PARTICIPATED IN JUNIOUR ACHIEVEMENT

SOUTH AFRICA (JASA) SPONSORED BY INVESTEC

ENTREPRENUERSHIP ACADEMY PROGRAMME.

: SAKHA LIKUSASA LETFU WINTER LEARNERSHIP

PROGRAMME WITH PHAKAMANI FOUNDATION.

",,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,"

Name of School : Hoerskool Silverton

Highest Standard Passed : Matric (Bachelor’s Pass)

Year Obtained : 2013

Accounting 49

Afrikaans 61

Business studies 63

Computer application technology 63

English 68

Life orientation 69

Subjects Passed : Mathematics Literacy 72

","

Name of Institution : Varsity College

Qualification : BCOM Strategic streamline/General mangement

Year Obtained : 2016

Major Subjects : Business management/Strategic management

Risk management

Supply chain management

Short term courses

Name of Institution : Open black board

Qualification : Goal setting

Year Obtained : 2016

Major topics covered : How to set goals

How to measure and set effective goals

Name of Institution : Open black board

Qualification : Communication

Year Obtained : 2016

Major topics covered : How to communicate effectively

Name of Institution : Open black board

Qualification : Personal and workplace skills

Year Obtained : 2016

Major topics covered : How react to conflict

How your background effect your personality

Name of Institution : Open black board

Qualification : Emotional intelligence

Year Obtained : 2016

Major topics covered : Emotional intelligence

Name of Institution : Open black board

Qualification : Self esteem

Year Obtained : 2016

Major topics covered : How growing up shaped the person you are today

How to be a happy person and personal goal setting

"
12,,,,,,,"


Bournemouth University: LL.M International Tax Law – Full Time (23 January 2017 – 01 June 2018)

 Commenced LL.M International Tax Law at ",,,,,,,,,,,,,,,,,,,,": University of the Witwatersrand: Bachelor of Laws (LL.B) (Cum Laude) - Full

Time (January 2012 - December 2015)

 Graduated from the University of the Witwatersrand in 2015 with Bachelor of Laws (LL.B)

(cum laude)


: University of Johannesburg - Full Time (January 2009 – March 2010)

 Attended and studied Bcom (Majoring in Accounting) for one year and 3 months

","

 British International College Bryanston (HIGCSE)

"
13,,,,,,,"


Rivonia Primary (2000-2006)

St Mary's School for Girls Waverly (2007-2011)

University of Witwatersrand (2012-Present)

",,,,"



National Senior Certificate

BCom General (majoring in Management Insurance and Risk Management and Marketing)

Short Course – current (Property Investment and Practice)

Seesa -Junior Management Training


",,,,,,,,,,,,,,,
14,,,,,,,"


BBusSc in Management Studies: Economics (Hons) University of Cape Town (2016)

Graduated with a Second Class Division one (70 – 74%) GPA in my honours year.

• University of Cape Town Football Club Men’s 2nd team Player of the Year (2016)

IEB National Senior Certificate Michaelhouse School (2012)

Matriculated with an aggregate of 87% and 8 distinctions namely English Mathematics

Afrikaans Physical Science Economics Visual Art Life Orientation and Maths Paper 3.

• Academic honours (2012)

• Art full colours (2012)

• House prefect (2012)

• 2nd team hockey captain (2012)

• 1st team soccer (2011-2012)

• Grade 5 guitar with merit (2009)

",,,,,,,,,,,,,,,,,,,
15,,,,,,,"


School attended: Holy Rosary High School (Edenvale Gauteng)

",,,,,,,,,,,,,,,,,,,
16,,,,,,,"
:

Tertiary:

University of Johannesburg (2014 – 2016)

Degree: Bachelor of Commerce (Finance)

Current Year of Study: Honours - 2017

University of Johannesburg ",,,,,,,,,,,,,,,,,,,
17,,,,,,,"
:

I attended Bryanston Parellel Medium primary school were I averaged an 80% mark I achieved many academic awards. I was deputy head boy.(2008)

I completed Matric at Fourways High School. Where I achieved top 5 academic results. And was Deputy Head boy. (2013)

I have recently graduated my 3 year Undergraduate degree of Bcom Investment Management (2016) And have started my final year in Bcom Honors in Financial Management (2017). Both through the University of Pretoria.

I am studying to achieve a CFA as well as CIMA qualifications congruently with my Honors degree this year (2017)

SPORT AND CULTURE I PARTICIPATED IN: I have Played Rugby and Tennis throughout my life Achieving the following:

• 3 years in the high school first team for rugby  as well as captaining the side in my final year (2013)

• 4 years in the first team tennis side  Captaining the side in my last 2 years.

• 2 years in the University of Pretoria age group sides (u/20 and u/21)

• 1 year in the Gauteng provincial team (the Super rugby side the Blue bulls)

Through my experiences in sport I have achieved and developed fundamental skills in Team work  Leadership  determination  a strong work ethic as well as key interpersonal skills.

",,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,, School Attended: Effingham Secondary School Period: 2009 - 2013 Highest Standard Passed: Grade 12 Matric Exemption with Distinction Pass Subjects Passed: English; Afrikaans; Mathematics; Accounting: Physical Science; Biology; Geography; Mathematics Paper 3. ,"

University: University of KwaZulu Natal Period: 2014 – 2017 Qualification: Bachelor of Business Science Qualification Status: In progress Expected Graduation Date: December 2017 Majors: Finance Economics Achievements: Golden Key Deans Commendation 2015

"
19,,,,,,,"
 History:

Preschool (1999) – Grade 2 (2004): Eton Wick C of E Primary School England.

Grade 3 (2004) – Grade 7 (2009): EISP Czech Republic.

Grade 8 (2009) – Grade 10 (2012): BIS Germany.

Grade 11 (2012) – Grade 12 (2013): Grey High School South Africa.

2014 – Present: Studying B. Bus Sci Actuarial Science at the University of Cape Town.
High School Achievements:

2011 (Grade 9): MVP Varsity Boys Cricket; Best Achievement in Biology Technology Chemistry Drama

2012 (Grade 10): MVP Varsity Boys Cross Country; Tom Ulmet Award for Outstanding Sporting Values; Best Achievement in Higher Level Mathematics Drama.

2012 (Grade 11): Completed year in 4 months due to immigration. Not eligible for awards.

2013 (Grade 12): Winner of the EC champs SA Nationals and holder of 2 national indoor records for Archery; Best Achievement in Mathematics (Standard and AP) Accounting; Dux student of Grey High School according to November Results; Placed 3rd in the Eastern Cape in the Accounting Olympiad; Provincial Team for Maths Olympiad; 91% for Advanced Program Mathematics.
",,,,,,,,,,,,,,,,,,,"
 and Achievements
"," Achievements:

2014: Dean’s Merit List; Qualified for Exemptions in CT7 (Economics).

2015: League Squash for UCT (14th League); Qualified for exemptions in CT2 (Finance and Financial Reporting) and CT3 (Probability and Mathematical Statistics).

2016: League Squash for UCT (14th League); Qualified for exemptions in CT6 (Statistical Methods).
",":

Holder of Code B Driver’s License

Official Level 1 Umpiring and Scoring for Cricket

Variety of Ac. Sci. exemptions qualified for (detailed above).

"
20,,,,,,,"


2016 : POSTGRADUATE DIPLOMA IN BUSINESS ADMINISTRATION

(NQF LEVEL 8)

MODULES COVERED : LEADERSHIP AND ORGANISATIONAL BEHAVIOUR STRATEGIC

MANAGEMENT INTERGRATED MARKETING RESEARCH

MAKING.

MBA LEVEL MODULES : BUSINESS ETHICS AND CORPORATE GOVERNANCE GENERAL

MANAGEMENT ENVIRONMENT AND SOCIAL RESPONSIBILITIES

ENVIRONMENTAL MANAGEMENT.

INSTITUTION : MILPARK BUSINESS SCHOOL

STATUS : COMPLETED

COMPLETE DATE : 30 NOVEMBER 2016

2014 : BSC DEGREE COMPLETED

MAJOR MODULES : MICROBIOLOGY AND BIOTECHNOLOGY GENETICS

INSTITUTION : UNIVERSITY OF WITWATERSRAND JOHANNESBURG

STATUS : COMPLETED

COMPLETE DATE : 30 NOVEMBER 2014

2010 : GRADE 12 COMPLETED

SCHOOL : MODUBATSE HIGH SCHOOL

SUBJECTS : SEPEDI ENGLISH MATHEMATICS LIFE SCIENCE

: GEOGRAPHY AGRICULTURAL SCIENCE AND LIFE

ORIENTATION

LOCATION : GA-KGAPANE LIMPOPO

",,,,,,,,,,,,,,,,,,,," BASED MENTORSHIP FOR YOUNG GIRLS IN GAUTENG AND LIMPOPO

"
